B04_CODIGO;B04_DESCRI;B04_TIPO;B04_SEGMEN;B04_DESSEG;B04_M_ARCO;B04_DESARC;B04_QTDFAC;B04_PERIOD;B04_UNIDAD
11;Incisivo Central Superior Direito;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR DIREITO;;;
12;Incisivo Lateral Superior Direito;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR DIREITO;;;
13;Canino Superior Direito;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR DIREITO;;;
14;Primeiro Pré-molar Superior Direito;1;S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;HA;HEMI-ARCO SUPERIOR DIREITO;;;
15;Segundo Pré-molar Superior Direito;1;S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;HA;HEMI-ARCO SUPERIOR DIREITO;;;
16;Primeiro Molar Superior Direito;1;S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;HA;HEMI-ARCO SUPERIOR DIREITO;;;
17;Segundo Molar Superior Direito;1;S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;HA;HEMI-ARCO SUPERIOR DIREITO;;;
18;Terceiro Molar Superior Direito;1;S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;HA;HEMI-ARCO SUPERIOR DIREITO;;;
19;Dente Permanente Supranumerário em Hemi-arco Superior Direito;4;;;;;;;
21;Incisivo Central Superior Esquerdo;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
22;Incisivo Lateral Superior Esquerdo;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
23;Canino Superior Esquerdo;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
24;Primeiro Pré-molar Superior Esquerdo;1;S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
25;Segundo Pré-molar Superior Esquerdo;1;S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
26;Primeiro Molar Superior Esquerdo;1;S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
27;Segundo Molar Superior Esquerdo;1;S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
28;Terceiro Molar Superior Esquerdo;1;S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
29;Dente Permanente Supranumerário em Hemi-arco Superior Esquerdo;4;;;;;;;
31;Incisivo Central Inferior Esquerdo;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
32;Incisivo Lateral Inferior Esquerdo;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
33;Canino Inferior Esquerdo;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
34;Primeiro Pré-molar Inferior Esquerdo;1;S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
35;Segundo Pré-molar Inferior Esquerdo;1;S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
36;Primeiro Molar Inferior Esquerdo;1;S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
37;Segundo Molar Inferior Esquerdo;1;S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
38;Terceiro Molar Inferior Esquerdo;1;S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
39;Dente Permanente Supranumerário em Hemi-arco Inferior Esquerdo;4;;;;;;;
41;Incisivo Central Inferior Direito;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR DIREITO;;;
42;Incisivo Lateral Inferior Direito;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR DIREITO;;;
43;Canino Inferior Direito;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR DIREITO;;;
44;Primeiro Pré-molar Inferior Direito;1;S6;SEXTANTE INFERIOR POSTERIOR DIREITO;HA;HEMI-ARCO INFERIOR DIREITO;;;
45;Segundo Pré-molar Inferior Direito;1;S6;SEXTANTE INFERIOR POSTERIOR DIREITO;HA;HEMI-ARCO INFERIOR DIREITO;;;
46;Primeiro Molar Inferior Direito;1;S6;SEXTANTE INFERIOR POSTERIOR DIREITO;HA;HEMI-ARCO INFERIOR DIREITO;;;
47;Segundo Molar Inferior Direito;1;S6;SEXTANTE INFERIOR POSTERIOR DIREITO;HA;HEMI-ARCO INFERIOR DIREITO;;;
48;Terceiro Molar Inferior Direito;1;S6;SEXTANTE INFERIOR POSTERIOR DIREITO;HA;HEMI-ARCO INFERIOR DIREITO;;;
49;Dente Permanente Supranumerário em Hemi-arco Inferior Direito;4;;;;;;;
51;Incisivo Central Decíduo Superior Direito;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR DIREITO;;;
52;Incisivo Lateral Decíduo Superior Direito;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR DIREITO;;;
53;Canino Decíduo Superior Direito;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR DIREITO;;;
54;Primeiro Molar Decíduo Superior Direito;1;S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;HA;HEMI-ARCO SUPERIOR DIREITO;;;
55;Segundo Molar Decíduo Superior Direito;1;S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;HA;HEMI-ARCO SUPERIOR DIREITO;;;
59;Dente Decíduo Supranumerário em Hemi-arco Superior Direito;4;;;;;;;
61;Incisivo Central Decíduo Superior Esquerdo;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
62;Incisivo Lateral Decíduo Superior Esquerdo;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
63;Canino Decíduo Superior Esquerdo;1;S2;SEXTANTE SUPERIOR ANTERIOR;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
64;Primeiro Molar Decíduo Superior Esquerdo;1;S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
65;Segundo Molar Decíduo Superior Esquerdo;1;S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO SUPERIOR ESQUERDO;;;
69;Dente Decíduo Supranumerário em Hemi-arco Superior Esquerdo;4;;;;;;;
71;Incisivo Central Decíduo Inferior Esquerdo;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
72;Incisivo Lateral Decíduo Inferior Esquerdo;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
73;Canino Decíduo Inferior Esquerdo;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
74;Primeiro Molar Decíduo Inferior Esquerdo;1;S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
75;Segundo Molar Decíduo Inferior Esquerdo;1;S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;HA;HEMI-ARCO INFERIOR ESQUERDO;;;
79;Dente Decíduo Supranumerário em Hemi-arco Inferior Esquerdo;4;;;;;;;
81;Incisivo Central Decíduo Inferior Direito;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR DIREITO;;;
82;Incisivo Lateral Decíduo Inferior Direito;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR DIREITO;;;
83;Canino Decíduo Inferior Direito;1;S5;SEXTANTE INFERIOR ANTERIOR;HA;HEMI-ARCO INFERIOR DIREITO;;;
84;Primeiro Molar Decíduo Inferior Direito;1;S6;SEXTANTE INFERIOR POSTERIOR DIREITO;HA;HEMI-ARCO INFERIOR DIREITO;;;
85;Segundo molar Decíduo Inferior Direito;1;S6;SEXTANTE INFERIOR POSTERIOR DIREITO;HA;HEMI-ARCO INFERIOR DIREITO;;;
89;Dente Decíduo Supranumerário em Hemi-arco Inferior Direito;4;;;;;;;
AB;ASSOALHO DE BOCA;5;;;;;;;
AI;ARCO INFERIOR;5;;;;;;;
AS;ARCO SUPERIOR;5;;;;;;;
ASAI;ARCADA SUPERIOR E INFERIOR;5;;;;;;;
ATM;ARTICULACAO TEMPORO-MANDIBULAR;5;;;;;;;
CARP;CARPAL;5;;;;;;;
CL;COMISSURA LABIAL;5;;;;;;;
FLA;FREIOS LABIAIS;5;;;;;;;
FLI;FREIO LINGUAL;5;;;;;;;
GI;GENGIVA INSERIDA;5;;;;;;;
HAID;HEMI-ARCO INFERIOR DIREITO;3;;;;;;;
HAIE;HEMI-ARCO INFERIOR ESQUERDO;3;;;;;;;
HASD;HEMI-ARCO SUPERIOR DIREITO;3;;;;;;;
HASE;HEMI-ARCO SUPERIOR ESQUERDO;3;;;;;;;
LG;LINGUA;5;;;;;;;
LI;LABIO INFERIOR;5;;;;;;;
LS;LABIO SUPERIOR;5;;;;;;;
MA;MUCOSA ALVEOLAR;5;;;;;;;
MJ;MUCOSA JUGAL;5;;;;;;;
PA;PALATO;5;;;;;;;
PD;PALATO DURO;5;;;;;;;
PI;PAPILA INCISIVA;5;;;;;;;
PM;PALATO MOLE;5;;;;;;;
PP;PREGAS PALATINAS;5;;;;;;;
PT;PAROTIDA;5;;;;;;;
RCID;REGIAO DE CANINO INFERIOR DIREITO;1;;;;;;;
RCIE;REGIAO DE CANINO INFERIOR ESQUERDO;1;;;;;;;
RCSD;REGIAO DO CANINO E LATERAL SUPERIOR DIREITO;1;;;;;;;
RCSE;REGIAO DO CANINO E LATERAL SUPERIOR ESQUERDO;1;;;;;;;
RII;REGIAO DOS INCISIVOS INFERIORES;1;;;;;;;
RIS;REGIAO DOS INCISIVOS CENTRAIS SUPERIORES;1;;;;;;;
RL;REGIAO LINGUAL;5;;;;;;;
RM;REGIAO RETRO MOLAR;5;;;;;;;
RMD;REGIAO DOS MOLARES LADO DIREITO;1;;;;;;;
RME;REGIAO DOS MOLARES LADO ESQUERDO;1;;;;;;;
RMID;REGIAO DOS MOLARES INFERIORES DIREITOS;1;;;;;;;
RMIE;REGIAO DOS MOLARES INFERIORES ESQUERDOS;1;;;;;;;
RMPD;REGIAO DOS MOLARES E PRE MOLARES LADO DIREITO;1;;;;;;;
RMPE;REGIAO DOS MOLARES E PRE MOLARES LADO ESQUERDO;1;;;;;;;
RMSD;REGIAO DOS MOLARES SUPERIORES DIREITOS;1;;;;;;;
RMSE;REGIAO DOS MOLARES SUPERIORES ESQUERDOS;1;;;;;;;
RP;REGIAO PALATINA;5;;;;;;;
RPD;REGIAO DOS PRE MOLARES LADO DIREITO;1;;;;;;;
RPE;REGIAO DOS PRE MOLARES LADO ESQUERDO;1;;;;;;;
RPID;REGIAO DOS PRE MOLARES INFERIORES DIREITOS;1;;;;;;;
RPIE;REGIAO DOS PRE MOLARES INFERIORES ESQUERDOS;1;;;;;;;
RPSD;REGIAO DOS PRE MOLARES SUPERIORES DIREITO;1;;;;;;;
RPSE;REGIAO DOS PRE MOLARES SUPERIORES ESQUERDOS;1;;;;;;;
RSL;REGIAO SUB LINGUAL;5;;;;;;;
RSMD;REGIAO SUB MANDIBULAR DIREITA;5;;;;;;;
RSME;REGIAO SUB MANDIBULAR ESQUERDA;5;;;;;;;
RV;REGIAO VESTIBULAR;1;;;;;;;
S1;SEXTANTE SUPERIOR POSTERIOR DIREITO;2;;;;;;;
S2;SEXTANTE SUPERIOR ANTERIOR;2;;;;;;;
S3;SEXTANTE SUPERIOR POSTERIOR ESQUERDO;2;;;;;;;
S4;SEXTANTE INFERIOR POSTERIOR ESQUERDO;2;;;;;;;
S5;SEXTANTE INFERIOR ANTERIOR;2;;;;;;;
S6;SEXTANTE INFERIOR POSTERIOR DIREITO;2;;;;;;;
SI;REGIAO DE SINFISE;5;;;;;;;
SM;REGIAO DO ASSOALHO DO SEIO MAXILAR;5;;;;;;;
TP;TONSILAS PALATINAS;5;;;;;;;
TU;REGIAO DO TUBER;5;;;;;;;
UV;Úvula;5;;;;;;;
