BKC_CODOPE;BKC_CODIGO;BKC_CODPAR
0001;AUR;01
0001;AUR;02
0001;AUR;03
0001;AUR;04
0001;AUX;01
0001;AUX;02
0001;AUX;03
0001;AUX;04
0001;CIR;00
0001;CIR;09
0001;CIR;12
0001;CIR;10
0001;COP;O
0001;COP;12
0001;COP;11
0001;COR;O
0001;COR;12
0001;COR;11
0001;CRR;O
0001;DOP;O
0001;DOP;12
0001;DOP;11
0001;FIL;O
0001;FIL;12
0001;FIL;11
0001;HM;O
0001;HM;00
0001;HM;12
0001;HM;10
0001;HMR;O
0001;HMR;00
0001;HMR;12
0001;HMR;10
0001;INC;O
0001;INC;00
0001;INC;12
0001;PA;06
0001;PAP;06
0001;PAR;06
0001;PPM;O
0001;PPM;00
0001;PPM;12
0001;PPM;10
0001;RCC;O
0001;RCC;00
0001;RCC;12
0001;RCC;10
0001;REA;O
0001;REA;00
0001;REA;12
0001;REA;10
0001;TCR;O
0001;UCO;O
0001;UCO;12
0001;UCO;11
0001;VDI;O
0001;VDI;12
0001;VMD;O
0001;VMD;12
0001;VMT;O
0001;VMT;12
0001;VTX;O
0001;VTX;12
0001;UNL;O
0001;USO;O