BKF_CODINT;BKF_CODTAB;BKF_SEQPOR;BKF_COEFIC;BKF_VLRREA;BKF_VIGINI;BKF_VIGFIN
0001;001;1.00;0.00;107.51;;
0001;001;2.00;0.00;153.58;;
0001;001;3.00;0.00;227.31;;
0001;001;4.00;0.00;307.17;;
0001;001;5.00;0.00;460.75;;
0001;001;6.00;0.00;675.77;;
0001;001;7.00;0.00;982.94;;
0001;001;8.00;0.00;1.234.82;;
0001;002;1.00;0.00;107.51;;
0001;002;2.00;0.00;153.58;;
0001;002;3.00;0.00;227.31;;
0001;002;4.00;0.00;307.17;;
0001;002;5.00;0.00;460.75;;
0001;002;6.00;0.00;675.77;;
0001;002;7.00;0.00;982.94;;
0001;002;8.00;0.00;1.234.82;;
0001;003;1.00;0.00;107.51;;
0001;003;2.00;0.00;153.58;;
0001;003;3.00;0.00;227.31;;
0001;003;4.00;0.00;307.17;;
0001;003;5.00;0.00;460.75;;
0001;003;6.00;0.00;675.77;;
0001;003;7.00;0.00;982.94;;
0001;003;8.00;0.00;1.234.82;;
0001;004;1.00;0.00;107.51;;
0001;004;2.00;0.00;153.58;;
0001;004;3.00;0.00;227.31;;
0001;004;4.00;0.00;307.17;;
0001;004;5.00;0.00;460.75;;
0001;004;6.00;0.00;675.77;;
0001;004;7.00;0.00;982.94;;
0001;004;8.00;0.00;1.234.82;;
0001;005;1.00;0.00;107.51;;
0001;005;2.00;0.00;153.58;;
0001;005;3.00;0.00;227.31;;
0001;005;4.00;0.00;307.17;;
0001;005;5.00;0.00;460.75;;
0001;005;6.00;0.00;675.77;;
0001;005;7.00;0.00;982.94;;
0001;005;8.00;0.00;1.234.82;;
0001;006;1.00;0.00;107.51;;
0001;006;2.00;0.00;153.58;;
0001;006;3.00;0.00;227.31;;
0001;006;4.00;0.00;307.17;;
0001;006;5.00;0.00;460.75;;
0001;006;6.00;0.00;675.77;;
0001;006;7.00;0.00;982.94;;
0001;006;8.00;0.00;1.234.82;;
0001;007;1.00;0.00;107.51;;
0001;007;2.00;0.00;153.58;;
0001;007;3.00;0.00;227.31;;
0001;007;4.00;0.00;307.17;;
0001;007;5.00;0.00;460.75;;
0001;007;6.00;0.00;675.77;;
0001;007;7.00;0.00;982.94;;
0001;007;8.00;0.00;1.234.82;;
0001;008;1.00;0.00;107.51;;
0001;008;2.00;0.00;153.58;;
0001;008;3.00;0.00;227.31;;
0001;008;4.00;0.00;307.17;;
0001;008;5.00;0.00;460.75;;
0001;008;6.00;0.00;675.77;;
0001;008;7.00;0.00;982.94;;
0001;008;8.00;0.00;1.234.82;;
0001;009;1.00;0.00;107.51;;
0001;009;2.00;0.00;153.58;;
0001;009;3.00;0.00;227.31;;
0001;009;4.00;0.00;307.17;;
0001;009;5.00;0.00;460.75;;
0001;009;6.00;0.00;675.77;;
0001;009;7.00;0.00;982.94;;
0001;009;8.00;0.00;1.234.82;;
0001;010;1.00;0.00;107.51;;
0001;010;2.00;0.00;153.58;;
0001;010;3.00;0.00;227.31;;
0001;010;4.00;0.00;307.17;;
0001;010;5.00;0.00;460.75;;
0001;010;6.00;0.00;675.77;;
0001;010;7.00;0.00;982.94;;
0001;010;8.00;0.00;1.234.82;;
0001;011;1.00;0.00;107.51;;
0001;011;2.00;0.00;153.58;;
0001;011;3.00;0.00;227.31;;
0001;011;4.00;0.00;307.17;;
0001;011;5.00;0.00;460.75;;
0001;011;6.00;0.00;675.77;;
0001;011;7.00;0.00;982.94;;
0001;011;8.00;0.00;1.234.82;;
0001;012;1.00;0.00;107.51;;
0001;012;2.00;0.00;153.58;;
0001;012;3.00;0.00;227.31;;
0001;012;4.00;0.00;307.17;;
0001;012;5.00;0.00;460.75;;
0001;012;6.00;0.00;675.77;;
0001;012;7.00;0.00;982.94;;
0001;012;8.00;0.00;1.234.82;;
0001;013;1.00;0.00;107.51;;
0001;013;2.00;0.00;153.58;;
0001;013;3.00;0.00;227.31;;
0001;013;4.00;0.00;307.17;;
0001;013;5.00;0.00;460.75;;
0001;013;6.00;0.00;675.77;;
0001;013;7.00;0.00;982.94;;
0001;013;8.00;0.00;1.234.82;;
0001;014;1.00;0.00;107.51;;
0001;014;2.00;0.00;153.58;;
0001;014;3.00;0.00;227.31;;
0001;014;4.00;0.00;307.17;;
0001;014;5.00;0.00;460.75;;
0001;014;6.00;0.00;675.77;;
0001;014;7.00;0.00;982.94;;
0001;014;8.00;0.00;1.234.82;;
0001;015;1.00;0.00;107.51;;
0001;015;2.00;0.00;153.58;;
0001;015;3.00;0.00;227.31;;
0001;015;4.00;0.00;307.17;;
0001;015;5.00;0.00;460.75;;
0001;015;6.00;0.00;675.77;;
0001;015;7.00;0.00;982.94;;
0001;015;8.00;0.00;1.234.82;;
0001;016;1.00;0.00;107.51;;
0001;016;2.00;0.00;153.58;;
0001;016;3.00;0.00;227.31;;
0001;016;4.00;0.00;307.17;;
0001;016;5.00;0.00;460.75;;
0001;016;6.00;0.00;675.77;;
0001;016;7.00;0.00;982.94;;
0001;016;8.00;0.00;1.234.82;;
0001;017;1.00;0.00;107.51;;
0001;017;2.00;0.00;153.58;;
0001;017;3.00;0.00;227.31;;
0001;017;4.00;0.00;307.17;;
0001;017;5.00;0.00;460.75;;
0001;017;6.00;0.00;675.77;;
0001;017;7.00;0.00;982.94;;
0001;017;8.00;0.00;1.234.82;;
0001;018;1.00;0.00;107.51;;
0001;018;2.00;0.00;153.58;;
0001;018;3.00;0.00;227.31;;
0001;018;4.00;0.00;307.17;;
0001;018;5.00;0.00;460.75;;
0001;018;6.00;0.00;675.77;;
0001;018;7.00;0.00;982.94;;
0001;018;8.00;0.00;1.234.82;;
0001;019;1.00;0.00;107.51;;
0001;019;2.00;0.00;153.58;;
0001;019;3.00;0.00;227.31;;
0001;019;4.00;0.00;307.17;;
0001;019;5.00;0.00;460.75;;
0001;019;6.00;0.00;675.77;;
0001;019;7.00;0.00;982.94;;
0001;019;8.00;0.00;1.234.82;;
0001;020;1.00;0.00;107.51;;
0001;020;2.00;0.00;153.58;;
0001;020;3.00;0.00;227.31;;
0001;020;4.00;0.00;307.17;;
0001;020;5.00;0.00;460.75;;
0001;020;6.00;0.00;675.77;;
0001;020;7.00;0.00;982.94;;
0001;020;8.00;0.00;1.234.82;;
0001;021;1.00;0.00;107.51;;
0001;021;2.00;0.00;153.58;;
0001;021;3.00;0.00;227.31;;
0001;021;4.00;0.00;307.17;;
0001;021;5.00;0.00;460.75;;
0001;021;6.00;0.00;675.77;;
0001;021;7.00;0.00;982.94;;
0001;021;8.00;0.00;1.234.82;;
0001;022;1.00;0.00;107.51;;
0001;022;2.00;0.00;153.58;;
0001;022;3.00;0.00;227.31;;
0001;022;4.00;0.00;307.17;;
0001;022;5.00;0.00;460.75;;
0001;022;6.00;0.00;675.77;;
0001;022;7.00;0.00;982.94;;
0001;022;8.00;0.00;1.234.82;;
0001;023;1.00;0.00;107.51;;
0001;023;2.00;0.00;153.58;;
0001;023;3.00;0.00;227.31;;
0001;023;4.00;0.00;307.17;;
0001;023;5.00;0.00;460.75;;
0001;023;6.00;0.00;675.77;;
0001;023;7.00;0.00;982.94;;
0001;023;8.00;0.00;1.234.82;;
0001;024;1.00;0.00;107.51;;
0001;024;2.00;0.00;153.58;;
0001;024;3.00;0.00;227.31;;
0001;024;4.00;0.00;307.17;;
0001;024;5.00;0.00;460.75;;
0001;024;6.00;0.00;675.77;;
0001;024;7.00;0.00;982.94;;
0001;024;8.00;0.00;1.234.82;;
0001;025;1.00;0.00;107.51;;
0001;025;2.00;0.00;153.58;;
0001;025;3.00;0.00;227.31;;
0001;025;4.00;0.00;307.17;;
0001;025;5.00;0.00;460.75;;
0001;025;6.00;0.00;675.77;;
0001;025;7.00;0.00;982.94;;
0001;025;8.00;0.00;1.234.82;;
0001;026;1.00;0.00;107.51;;
0001;026;2.00;0.00;153.58;;
0001;026;3.00;0.00;227.31;;
0001;026;4.00;0.00;307.17;;
0001;026;5.00;0.00;460.75;;
0001;026;6.00;0.00;675.77;;
0001;026;7.00;0.00;982.94;;
0001;026;8.00;0.00;1.234.82;;
0001;027;1.00;0.00;107.51;;
0001;027;2.00;0.00;153.58;;
0001;027;3.00;0.00;227.31;;
0001;027;4.00;0.00;307.17;;
0001;027;5.00;0.00;460.75;;
0001;027;6.00;0.00;675.77;;
0001;027;7.00;0.00;982.94;;
0001;027;8.00;0.00;1.234.82;;
0001;028;1.00;0.00;107.51;;
0001;028;2.00;0.00;153.58;;
0001;028;3.00;0.00;227.31;;
0001;028;4.00;0.00;307.17;;
0001;028;5.00;0.00;460.75;;
0001;028;6.00;0.00;675.77;;
0001;028;7.00;0.00;982.94;;
0001;028;8.00;0.00;1.234.82;;
0001;029;1.00;0.00;107.51;;
0001;029;2.00;0.00;153.58;;
0001;029;3.00;0.00;227.31;;
0001;029;4.00;0.00;307.17;;
0001;029;5.00;0.00;460.75;;
0001;029;6.00;0.00;675.77;;
0001;029;7.00;0.00;982.94;;
0001;029;8.00;0.00;1.234.82;;
0001;030;1.00;0.00;107.51;;
0001;030;2.00;0.00;153.58;;
0001;030;3.00;0.00;227.31;;
0001;030;4.00;0.00;307.17;;
0001;030;5.00;0.00;460.75;;
0001;030;6.00;0.00;675.77;;
0001;030;7.00;0.00;982.94;;
0001;030;8.00;0.00;1.234.82;;
0001;031;1.00;0.00;107.51;;
0001;031;2.00;0.00;153.58;;
0001;031;3.00;0.00;227.31;;
0001;031;4.00;0.00;307.17;;
0001;031;5.00;0.00;460.75;;
0001;031;6.00;0.00;675.77;;
0001;031;7.00;0.00;982.94;;
0001;031;8.00;0.00;1.234.82;;
0001;032;1.00;0.00;107.51;;
0001;032;2.00;0.00;153.58;;
0001;032;3.00;0.00;227.31;;
0001;032;4.00;0.00;307.17;;
0001;032;5.00;0.00;460.75;;
0001;032;6.00;0.00;675.77;;
0001;032;7.00;0.00;982.94;;
0001;032;8.00;0.00;1.234.82;;
0001;033;1.00;0.00;107.51;;
0001;033;2.00;0.00;153.58;;
0001;033;3.00;0.00;227.31;;
0001;033;4.00;0.00;307.17;;
0001;033;5.00;0.00;460.75;;
0001;033;6.00;0.00;675.77;;
0001;033;7.00;0.00;982.94;;
0001;033;8.00;0.00;1.234.82;;
0001;034;1.00;0.00;107.51;;
0001;034;2.00;0.00;153.58;;
0001;034;3.00;0.00;227.31;;
0001;034;4.00;0.00;307.17;;
0001;034;5.00;0.00;460.75;;
0001;034;6.00;0.00;675.77;;
0001;034;7.00;0.00;982.94;;
0001;034;8.00;0.00;1.234.82;;
0001;035;1.00;0.00;107.51;;
0001;035;2.00;0.00;153.58;;
0001;035;3.00;0.00;227.31;;
0001;035;4.00;0.00;307.17;;
0001;035;5.00;0.00;460.75;;
0001;035;6.00;0.00;675.77;;
0001;035;7.00;0.00;982.94;;
0001;035;8.00;0.00;1.234.82;;
0001;036;1.00;0.00;107.51;;
0001;036;2.00;0.00;153.58;;
0001;036;3.00;0.00;227.31;;
0001;036;4.00;0.00;307.17;;
0001;036;5.00;0.00;460.75;;
0001;036;6.00;0.00;675.77;;
0001;036;7.00;0.00;982.94;;
0001;036;8.00;0.00;1.234.82;;
0001;037;1.00;0.00;107.51;;
0001;037;2.00;0.00;153.58;;
0001;037;3.00;0.00;227.31;;
0001;037;4.00;0.00;307.17;;
0001;037;5.00;0.00;460.75;;
0001;037;6.00;0.00;675.77;;
0001;037;7.00;0.00;982.94;;
0001;037;8.00;0.00;1.234.82;;
0001;038;1.00;0.00;107.51;;
0001;038;2.00;0.00;153.58;;
0001;038;3.00;0.00;227.31;;
0001;038;4.00;0.00;307.17;;
0001;038;5.00;0.00;460.75;;
0001;038;6.00;0.00;675.77;;
0001;038;7.00;0.00;982.94;;
0001;038;8.00;0.00;1.234.82;;