BAV_TPBENE;BAV_MODCOB;BAV_REGPLN;BAV_TPPLN;BAV_PATROC;BAV_CONTA;BAV_CTAENC
1;1;0;1;0;2111190310001;2111190310001
1;2;0;1;0;2111190310001;2111190310001
1;1;1;1;0;2111190310001;2111190310001
1;2;1;1;0;2111190310001;2111190310001
1;1;0;2;0;2111190310001;2111190310001
1;2;0;2;0;2111190310001;2111190310001
1;1;1;2;0;2111190310001;2111190310001
1;2;1;2;0;2111190310001;2111190310001
1;1;0;3;0;2111190310001;2111190310001
1;2;0;3;0;2111190310001;2111190310001
1;1;1;3;0;2111190310001;2111190310001
1;2;1;3;0;2111190310001;2111190310001
1;1;0;1;1;2111190310001;2111190310001
1;2;0;1;1;2111190310001;2111190310001
1;1;1;1;1;2111190310001;2111190310001
1;2;1;1;1;2111190310001;2111190310001
1;1;0;2;1;2111190310001;2111190310001
1;2;0;2;1;2111190310001;2111190310001
1;1;1;2;1;2111190310001;2111190310001
1;2;1;2;1;2111190310001;2111190310001
1;1;0;3;1;2111190310001;2111190310001
1;2;0;3;1;2111190310001;2111190310001
1;1;1;3;1;2111190310001;2111190310001
1;2;1;3;1;2111190310001;2111190310001
2;1;0;1;0;2111190310001;2111190310001
2;2;0;1;0;2111190310001;2111190310001
2;1;1;1;0;2111190310001;2111190310001
2;2;1;1;0;2111190310001;2111190310001
2;1;0;2;0;2111190310001;2111190310001
2;2;0;2;0;2111190310001;2111190310001
2;1;1;2;0;2111190310001;2111190310001
2;2;1;2;0;2111190310001;2111190310001
2;1;0;3;0;2111190310001;2111190310001
2;2;0;3;0;2111190310001;2111190310001
2;1;1;3;0;2111190310001;2111190310001
2;2;1;3;0;2111190310001;2111190310001
2;1;0;1;1;2111190310001;2111190310001
2;2;0;1;1;2111190310001;2111190310001
2;1;1;1;1;2111190310001;2111190310001
2;2;1;1;1;2111190310001;2111190310001
2;1;0;2;1;2111190310001;2111190310001
2;2;0;2;1;2111190310001;2111190310001
2;1;1;2;1;2111190310001;2111190310001
2;2;1;2;1;2111190310001;2111190310001
2;1;0;3;1;2111190310001;2111190310001
2;2;0;3;1;2111190310001;2111190310001
2;1;1;3;1;2111190310001;2111190310001
2;2;1;3;1;2111190310001;2111190310001
3;1;0;1;0;2111190310001;2111190310001
3;2;0;1;0;2111190310001;2111190310001
3;1;1;1;0;2111190310001;2111190310001
3;2;1;1;0;2111190310001;2111190310001
3;1;0;2;0;2111190310001;2111190310001
3;2;0;2;0;2111190310001;2111190310001
3;1;1;2;0;2111190310001;2111190310001
3;2;1;2;0;2111190310001;2111190310001
3;1;0;3;0;2111190310001;2111190310001
3;2;0;3;0;2111190310001;2111190310001
3;1;1;3;0;2111190310001;2111190310001
3;2;1;3;0;2111190310001;2111190310001
3;1;0;1;1;2111190310001;2111190310001
3;2;0;1;1;2111190310001;2111190310001
3;1;1;1;1;2111190310001;2111190310001
3;2;1;1;1;2111190310001;2111190310001
3;1;0;2;1;2111190310001;2111190310001
3;2;0;2;1;2111190310001;2111190310001
3;1;1;2;1;2111190310001;2111190310001
3;2;1;2;1;2111190310001;2111190310001
3;1;0;3;1;2111190310001;2111190310001
3;2;0;3;1;2111190310001;2111190310001
3;1;1;3;1;2111190310001;2111190310001
3;2;1;3;1;2111190310001;2111190310001
4;1;0;1;0;2111190310001;2111190310001
4;2;0;1;0;2111190310001;2111190310001
4;1;1;1;0;2111190310001;2111190310001
4;2;1;1;0;2111190310001;2111190310001
4;1;0;2;0;2111190310001;2111190310001
4;2;0;2;0;2111190310001;2111190310001
4;1;1;2;0;2111190310001;2111190310001
4;2;1;2;0;2111190310001;2111190310001
4;1;0;3;0;2111190310001;2111190310001
4;2;0;3;0;2111190310001;2111190310001
4;1;1;3;0;2111190310001;2111190310001
4;2;1;3;0;2111190310001;2111190310001
4;1;0;1;1;2111190310001;2111190310001
4;2;0;1;1;2111190310001;2111190310001
4;1;1;1;1;2111190310001;2111190310001
4;2;1;1;1;2111190310001;2111190310001
4;1;0;2;1;2111190310001;2111190310001
4;2;0;2;1;2111190310001;2111190310001
4;1;1;2;1;2111190310001;2111190310001
4;2;1;2;1;2111190310001;2111190310001
4;1;0;3;1;2111190310001;2111190310001
4;2;0;3;1;2111190310001;2111190310001
4;1;1;3;1;2111190310001;2111190310001
4;2;1;3;1;2111190310001;2111190310001
5;1;0;1;0;2111190310001;2111190310001
5;2;0;1;0;2111190310001;2111190310001
5;1;1;1;0;2111190310001;2111190310001
5;2;1;1;0;2111190310001;2111190310001
5;1;0;2;0;2111190310001;2111190310001
5;2;0;2;0;2111190310001;2111190310001
5;1;1;2;0;2111190310001;2111190310001
5;2;1;2;0;2111190310001;2111190310001
5;1;0;3;0;2111190310001;2111190310001
5;2;0;3;0;2111190310001;2111190310001
5;1;1;3;0;2111190310001;2111190310001
5;2;1;3;0;2111190310001;2111190310001
5;1;0;1;1;2111190310001;2111190310001
5;2;0;1;1;2111190310001;2111190310001
5;1;1;1;1;2111190310001;2111190310001
5;2;1;1;1;2111190310001;2111190310001
5;1;0;2;1;2111190310001;2111190310001
5;2;0;2;1;2111190310001;2111190310001
5;1;1;2;1;2111190310001;2111190310001
5;2;1;2;1;2111190310001;2111190310001
5;1;0;3;1;2111190310001;2111190310001
5;2;0;3;1;2111190310001;2111190310001
5;1;1;3;1;2111190310001;2111190310001
5;2;1;3;1;2111190310001;2111190310001
6;1;0;1;0;2111190310001;2111190310001
6;2;0;1;0;2111190310001;2111190310001
6;1;1;1;0;2111190310001;2111190310001
6;2;1;1;0;2111190310001;2111190310001
6;1;0;2;0;2111190310001;2111190310001
6;2;0;2;0;2111190310001;2111190310001
6;1;1;2;0;2111190310001;2111190310001
6;2;1;2;0;2111190310001;2111190310001
6;1;0;3;0;2111190310001;2111190310001
6;2;0;3;0;2111190310001;2111190310001
6;1;1;3;0;2111190310001;2111190310001
6;2;1;3;0;2111190310001;2111190310001
6;1;0;1;1;2111190310001;2111190310001
6;2;0;1;1;2111190310001;2111190310001
6;1;1;1;1;2111190310001;2111190310001
6;2;1;1;1;2111190310001;2111190310001
6;1;0;2;1;2111190310001;2111190310001
6;2;0;2;1;2111190310001;2111190310001
6;1;1;2;1;2111190310001;2111190310001
6;2;1;2;1;2111190310001;2111190310001
6;1;0;3;1;2111190310001;2111190310001
6;2;0;3;1;2111190310001;2111190310001
6;1;1;3;1;2111190310001;2111190310001
6;2;1;3;1;2111190310001;2111190310001